kampo_number,name,name_kana,symptoms,patterns,crude_drugs,classification,indications,Physical,point
12,柴胡加竜骨牡蛎湯,さいこかりゅうこつぼれいとう,動悸|不安|不眠|いらだち|高血圧|動脈硬化|慢性腎不全|神経衰弱症|てんかん|ヒステリー|小児夜啼症|陰萎,実証|中間証|熱証|気虚|気滞,サイコ|ハンゲ|ケイヒ|ブクリョウ|オウゴン|タイソウ|ニンジン|ボレイ|リュウコツ|ショウキョウ,循環器|腎|小児|泌尿器|精神・神経,高血圧|動脈硬化|神経性心悸亢進症|慢性腎臓病|小児夜啼症|てんかん|神経症|陰萎|ヒステリー|神経衰弱|不眠,比較的体力のある,精神不安、不眠などの精神神経症状があり胸脇苦満のある場合
14,半夏瀉心湯,はんげしゃしんとう,下痢|胃もたれ|悪心|嘔吐|食欲不振|急性胃腸カタル|慢性胃腸カタル|発酵性下痢|消化不良|胃下垂|神経性胃炎|胃弱|二日酔い|げっぷ|胸焼け|口内炎|神経症,中間証|熱証|寒証|気虚,ハンゲ|オオゴン|カンキョウ|カンゾウ|タイソウ|ニンジン|オウレン,消化器|小児|外科・周術期|鼻腔咽喉|精神・神経|歯・口腔,口内炎|胃下垂|胃弱|神経性胃炎|急性胃腸炎|慢性胃腸炎|胸焼け|げっぷ|二日酔い|醗酵性下痢|消化不良|神経症,体力中等度,心窩部の膨満感、腹中雷鳴があり、悪心、嘔吐、下痢などを訴える場合
15,黄連解毒湯,おうれんげどくとう,鼻出血|のぼせ|いらいら|高血圧|不眠症|ノイローゼ|胃炎|二日酔い|血の道症|めまい|動悸|湿疹|皮膚炎|皮膚搔痒症,実証|中間証|熱証|水滞,オウレン|オウゴン|サンシシ|オウバク,循環器|消化器|神経・筋・脳神経|小児|産婦人科|皮膚|鼻腔咽喉|精神・神経,高血圧|動悸|胃炎|二日酔い|めまい|湿疹|血の道症|皮膚炎|皮膚搔痒感|鼻血|ノイローゼ|不眠,体力中等度もしくはそれ以上,のぼせ気味で精神神経症状を伴い、心窩部膨満感を伴う場合
16,半夏厚朴湯,はんげこうぼくとう,喉の違和感|不安|動悸|めまい|吐き気|不安神経症|神経性胃炎|つわり|せき|しわがれ声|神経性食道狭窄症|不眠症,虚証|中間証|気滞|水滞,ハンゲ|コウボク|ブクリョウ|ソヨウ|ショウキョウ,呼吸器|消化器|小児|産婦人科|鼻腔咽喉|精神・神経,咳|神経性食道狭窄症|神経性胃炎|咳|つわり|しわがれ声|不安神経症|不眠,体力中等度以下,神経症的傾向があり咽頭食道部に異物感がある場合
17,五苓散,ごれいさん,むくみ|口渇|尿量減少|ネフローゼ|二日酔い|急性胃腸カタル|下痢|悪心|嘔吐|めまい|胃内停水|頭痛|尿毒症|暑気あたり|糖尿病,水滞|中間証,タクシャ|チョレイ|ブクリョウ|ソウジュツ|ケイヒ,共通（領域を問わないもの）|消化器|腎|代謝・内分泌|神経・筋・脳神経|小児|外科・周術期|鼻腔咽喉,暑気あたり|浮腫|急性胃腸炎|胃内停水|悪心|嘔吐|二日酔い|下痢|ネフローゼ|尿毒症|糖尿病|頭痛|めまい,体力は問わない,口喝、尿量減少し、浮腫、悪心、嘔吐、頭痛、めまい等を伴う場合
18,桂枝加朮附湯,けいしかじゅつぶとう,関節痛|神経痛,虚証|寒証|気虚|水滞|血虚,ケイヒ|シャクヤク|ソウジュツ|タイソウ|カンゾウ|ショウキョウ|ブシ,神経・筋・脳神経|整形・運動器,神経痛|関節痛,比較的体力低下,冷え性で、朝の手のこわばり、微熱、盗汗等を伴う場合
19,小青竜湯,しょうせいりゅうとう,痰|咳|鼻水|冷え|咳|流涙|咳嗽|気管支炎|気管支喘息|鼻炎|アレルギー性鼻炎|アレルギー性結膜炎|感冒,中間証|寒証|水滞,マオウ|ケイヒ|カンキョウ|サイシン|ハンゲ|カンゾウ|ゴミシ|シャクヤク,呼吸器|小児|鼻腔咽喉|眼,感冒|気管支炎|気管支喘息|アレルギー性鼻炎|鼻炎|アレルギー性結膜炎,体力中等度,呼吸困難、咳嗽、喘息があり泡沫水様の痰、水様鼻汁等を伴う場合
20,防已黄耆湯,ぼういおうぎとう,浮腫|肥満症|腎炎|ネフローゼ|妊娠腎|陰嚢水腫|関節炎|筋炎|皮膚病|多汗症|月経不順|癰|癤,虚証|中間証|水滞,オウギ|ボウイ|ソウジュツ|タイソウ|カンゾウ|ショウキョウ,共通（領域を問わないもの）|腎|代謝・内分泌|神経・筋・脳神経|小児|外科・周術期|整形・運動器|産婦人科|皮膚|泌尿器,多汗症|浮腫|腎炎|ネフローゼ|肥満症|筋炎|関節炎|月経不順|皮膚病|よう（癰）|せつ（癤）|陰嚢水腫,比較的体力低下,水ぶとり体質で、全身倦怠感を訴える場合
21,小半夏加茯苓湯,しょうはんげかぶくりょうとう,妊娠嘔吐|つわり|急性胃腸炎|湿性胸膜炎|水腫性脚気|蓄膿症,中間証|水滞,ハンゲ|ブクリョウ|ショウキョウ,消化器|小児|産婦人科,嘔吐|急性胃腸炎|湿性胸膜炎|水腫性脚気|蓄膿症|つわり|妊娠腎,体力中等度,少しずつ何回も吐き、吐いた後も悪心が残るような場合
22,消風散,しょうふうさん,かゆみ|湿疹|蕁麻疹|水虫|汗疹|皮膚搔痒症,熱証|中間証|実証|血虚|水滞,セッコウ|トウキ|ジオウ|ゴボウシ|ソウジュツ|ボウフウ|モクツウ|ゴマ|チモ|カンゾウ|クジン|ケイガイ|センタイ,小児|皮膚,分泌液が多く痒みの強い慢性の皮膚病|湿疹|蕁麻疹|水虫|あせも|皮膚搔痒症,比較的体力ある,分泌物のある皮疹で、患部に熱感、湿潤、搔痒のある場合
23,当帰芍薬散,とうきしゃくやくさん,冷え|むくみ|貧血|倦怠感|更年期障害|頭重|頭痛|めまい|肩こり|月経不順|月経困難|不妊症|動機|慢性腎炎|妊娠中の諸症状|脚気|半身不随|心臓弁膜症,虚証|中間証|瘀血|血虚|水滞,トウキ|シャクヤク|センキュウ|ソウジュツ|タクシャ|ブクリョウ|,共通（領域を問わないもの）|循環器|腎|代謝・内分泌|神経・筋・脳神経|小児|産婦人科,疲労倦怠|心臓弁膜症|動悸|半身不随|痔（妊娠中）|慢性腎炎|脚気|半身不随|浮腫（妊娠中）|習慣性流産（妊娠中）|腹痛（妊娠中）|更年期障害|貧血|月経不順|不妊症|月経困難,比較的体力低下,月経異常、冷え性、軽度の浮腫、貧血傾向等のある場合
24,加味逍遙散,かみしょうようさん,イライラ|月経不順|虚弱体質|冷え性|月経困難|更年期障害|血の道症|不安,虚証|中間証|熱証|寒証|気滞|瘀血|血虚|水滞,サイコ|トウキ|シャクヤク|ソウジュツ|ブクリョウ|サンシシ|ボタンピ|カンゾウ|ショウキョウ|ハッカ,共通（領域を問わないもの）|血液|産婦人科,虚弱体質|貧血|更年期障害|血の道症|冷え性|月経不順|月経困難,比較的体力低下,精神不安|不眠、イライラ等の精神症状を訴える
25,桂枝茯苓丸,けいしぶくりょうがん,のぼせ|子宮内膜炎|月経不順|月経困難|帯下|更年期障害|頭痛|めまい|肩こり|冷え性|腹膜炎|打撲症|痔疾患|睾丸炎,実証|中間証|熱証|寒証|気滞|瘀血,ケイヒ|ブクリョウ|ボタンピ|シャクヤク|トウニン,消化器|外科・周術期|産婦人科|泌尿器,腹膜炎|痔|打撲|更年期障害|冷え性|月経困難|月経不順|子宮内膜炎|子宮並びにその付属器の炎症|こしけ|睾丸炎,体力中等度あるいはそれ以上,のぼせ、下腹部の緊張、圧痛、瘀血に伴う諸症状がある場合
26,桂枝加竜骨牡蛎湯,けいしかりゅうこつぼれいとう,小児夜尿症|神経衰弱|遺精|陰萎,虚証|気滞|気虚|血虚,ケイヒ|シャクヤク|タイソウ|リュウコツ|ボレイ|カンゾウ|ショウキョウ,小児|泌尿器|精神・神経,小児夜尿症|陰萎|遺精|神経衰弱|性的神経衰弱,比較的体力低下,体質虚弱で、顔色不良、神経過敏、精神不安等を伴う場合
27,麻黄湯,まおうとう,発熱|悪寒|無汗|腰痛|頭痛|感冒|インフルエンザ|関節リウマチ|喘息|乳児の鼻閉塞|哺乳困難,実証|寒症,マオウ|キョウニン|ケイヒ|カンゾウ,呼吸器|膠原病|小児|整形・運動器,感冒|インフルエンザ（初期）|気管支炎|気管支喘息|関節リウマチ|哺乳困難|小児の鼻閉塞,体力充実,頭痛、発熱、悪寒、四肢の関節痛、咳嗽があり、自発発汗のない場合
28,越婢加朮湯,えっぴかじゅつとう,むくみ|関節痛|ネフローゼ|脚気|関節リウマチ|夜尿症|湿疹|腎炎,実証|中間証|熱証|水滞,マオウ|セッコウ|ソウジュツ|タイソウ|カンゾウ|ショウキョウ,腎|代謝・内分泌|膠原病|小児|整形・運動器|皮膚,腎炎|ネフローゼ|脚気|関節リウマチ|夜尿症|湿疹,比較的体力ある,浮腫、発汗傾向、口渇、尿量減少等を訴える場合
29,麦門冬湯,ばくもんどうとう,気管支喘息|気管支炎|咳,虚証|中間証|熱証|気虚|水滞|陰虚,バクモントウ|ハンゲ|ニンジン|コウベイ|タイソウ|カンゾウ,呼吸器|小児,気管支炎|気管支喘息|痰の切れにくい痰,体力中等度もしくはそれ以下,激しい咳嗽があり、咽喉の乾燥感、粘稠性の痰等が伴う場合
30,真武湯,しんぶとう,胃腸疾患|胃腸虚弱症|慢性腸炎|消化不良|胃アトニー症|胃下垂症|ネフローゼ|腹膜炎|脳溢症|運動麻痺|知覚麻痺|神経衰弱|高血圧症|心臓弁膜症|心不全|関節リウマチ,虚証|寒証|水滞,ブシ|ブクリョウ|シャクヤク|ソウジュツ|ショウキョウ,循環器|消化器|腎|神経・筋・脳神経|膠原病|小児|整形・運動器|皮膚|精神・神経,高血圧|心臓弁膜症|心不全の動悸亢進|脳溢血|半身不随|胃腸疾患|胃アトニー|胃下垂|胃腸虚弱|急性腸炎|消化不良|腹膜炎|ネフローゼ|脳溢血|半身不随|脊髄神経による運動並びに知覚麻痺|関節リウマチ|老人性搔痒症|神経衰弱,体力低下,新陳代謝が低下し全身倦怠感四肢の冷感等を伴う場合
31,呉茱萸湯,ゴシュユトウ,習慣性偏頭痛|嘔吐|脚気衝心,虚証|寒証|水滞|気虚,タイソウ|ゴシュユ|ニンジン|ショウキョウ,循環器|消化器|代謝・内分泌|神経・筋・脳神経|小児,脚気衝心|嘔吐|脚気衝心|習慣性頭痛|習慣性偏頭痛,比較的体力低下,冷え性の人で反復性の激しい咳嗽があり頭痛のある場合
32,人参湯,にんじんとう,胃腸カタル|胃アトニー症|胃拡張|つわり|萎縮腎,虚証|寒証|水滞|気虚,ニンジン|カンキョウ|カンゾウ|ソウジュツ,消化器|腎|産婦人科,胃アトニー|胃拡張|急性胃腸炎|慢性胃腸炎|萎縮腎|つわり,比較的体力低下,冷え性の人で、胃部停滞感、下痢など胃腸機能が低下している場合
33,大黄牡丹皮湯,だいおうぼたんぴとう,月経不順|月経困難|便秘|痔疾患,実証|熱証|瘀血,トウガシ|トウニン|ボタンピ|ダイオウ|ボウショウ,消化器|外科・周術期|産婦人科,便秘|痔|月経困難|月経不順,比較的体力充実,下腹部が緊張し抵抗圧痛があり瘀血を伴う場合
34,白虎加人参湯,びゃっこかにんじんとう,のどの渇き|ほてり,実証|熱証|中間証|気虚|陰虚,セッコウ|チモ|ニンジン|コウペイ|カンゾウ,共通（領域を問わないもの）|代謝・内分泌|歯・口腔,ほてり|口渇,比較的体力ある,口渇があり、時に多尿、皮膚搔痒感を伴う場合
35,四逆散,しぎゃくさん,胆嚢症|胆石症|胃炎|胃酸過多|胃潰瘍|鼻カタル|気管支炎|神経質|ヒステリー,中間証|寒証|水滞,サイコ|シャクヤク|キジュツ|カンゾウ,共通（領域を問わないもの）|呼吸器|消化器|小児|鼻腔咽喉|精神・神経,口渇|気管支炎|胃炎|胃潰瘍|胃酸過多|胆嚢炎|胆石症|気管支喘息|鼻炎|ヒステリー|神経質,比較的体力ある,体がほてり、時に多尿、皮膚搔痒感を伴う場合
36,木防已湯,もくぼういとう,咳|呼吸困難|心疾患|腎疾患|浮腫|喘息,虚証|水滞,セッコウ|ボウイ|ケイヒ|ニンジン,共通（領域を問わないもの）|循環器|腎|神経・筋・脳神経|小児|外科・周術期,浮腫|心臓にもとづく疾患|心臓性喘息|腎に元ずく疾患,比較的体力低下,心窩部がつかえ、呼吸困難、口渇、尿量減少、動悸等がある場合
37,半夏白朮天麻湯,はんげびゃくじゅつてんまとう,めまい|頭痛,虚証|寒証|気滞|気虚|水滞,チンピ|ハンゲ|ビャクジュツ|ブクリョウ|テンマ|バクガ|オウギ|タクシャ|ニンジン|オウバク|カンキョウ|ショウキョウ,共通（領域を問わないもの）|消化器|神経・筋・脳神経|小児|産婦人科|鼻腔咽喉,下肢の冷え|胃腸虚弱|頭痛|めまい,比較的体力低下,胃腸虚弱な人が頭重感、めまい等を伴う場合
38,当帰四逆加呉茱萸生姜湯,とうきしぎゃくかごしゅゆしょうきょうとう,冷え|しもやけ|頭痛|下腹部痛|腰痛,虚証|寒証,タイソウ|シャクヤク|トウキ|ケイヒ|モクツウ|カンゾウ|ゴシュユ|サイシン|ショウキョウ,消化器|神経・筋・脳神経|小児|整形・運動器|産婦人科|皮膚|泌尿器,下腹部痛|頭痛|腰痛|しもやけ,比較的体力低下,冷え性で体質虚弱な人が寒冷の為手足が冷えて痛む場合
39,苓桂朮甘湯,りょうけいじゅつかんとう,めまい|動悸|神経質|ノイローゼ|息切れ|頭痛,虚証|寒証|気滞|水滞,ブクリョウ|ケイヒ|ソウジュツ|カンゾウ,循環器|腎|神経・筋・脳神経|小児|鼻腔咽喉|精神・神経,動悸|息切れ|腎炎|頭痛|めまい|ノイローゼ|神経質,比較的体力低下,めまい、身体動揺感、立ちくらみ、息切れ、頭痛、のぼせなどを伴う場合
40,猪苓湯,ちょれいとう,排尿痛|頻尿|尿道炎|腎臓炎|腎石症|淋炎|排尿症|血尿|浮腫|残尿感|下痢,熱証|虚証|中間証|実証|水滞,チョレイ|タクシャ|カッセキ|アキョウ|ブクリョウ,共通（領域を問わないもの）|消化器|腎|神経・筋・脳神経|小児|外科・周術期|産婦人科|泌尿器,腰以下の浮腫|下痢|腎石症|腎炎|尿道炎|淋炎|残尿感|排尿痛|血尿,体力は問わない,頻尿、残尿感、排尿痛、血尿などの排尿障害のある場合
41,補中益気湯,ほちゅうえっきとう,夏やせ|体力増強|結核症|食欲不振|胃下垂|感冒|痔|脱肛|子宮下垂|陰萎|半身不随|多汗症,気虚|虚証|熱証|寒証,オウギ|ソウジュツ|ニンジン|トウキ|サイコ|タイソウ|チンピ|カンゾウ|ショウマ|ショウキョウ,共通（領域を問わないもの）|呼吸器|循環器|消化器|神経・筋・脳神経|小児|外科・周術期|産婦人科|泌尿器,病後の体力低下|食欲不振|夏やせ|多汗症|感冒|結核症|半身不随|胃下垂|食欲不振|痔|脱肛|半身不随|子宮下垂|陰萎,比較的体力低下,全身倦怠感、食欲不振、時に衰弱により微熱、盗汗などがある場合
43,六君子湯,りっくんしとう,食欲不振|消化不良|胃炎|胃アトニー|胃下垂|胃痛|嘔吐,虚証|寒証|気虚|水滞,ソウジュツ|ニンジン|ハンゲ|タイソウ|チンピ|ブクリョウ|カンゾウ|ショウキョウ,共通（領域を問わないもの）|消化器|小児|外科・周術期,食欲不振|胃アトニー|胃下垂|胃炎|胃痛|食欲不振|嘔吐|消化不良,比較的体力低下,胃腸機能が低下して心窩部の膨満感などを訴える場合
45,桂枝湯,けいしとう,風邪,虚証|寒症,ケイヒ|シャクヤク|カンゾウ|ショウキョウ|タイソウ,呼吸器|小児,感冒（初期）,比較的体力低下,頭痛、発熱、悪寒を伴い、自然発汗のある場合
46,七物降下湯,しちもつこうかとう,高血圧|のぼせ|肩こり|耳鳴り|頭重,虚証|血虚,シャクヤク|トウキ|オウギ|ジオウ|センキュウ|チョウトウコウ|オウバク,循環器,高血圧の随伴症状（のぼせ、肩こり、耳鳴り、頭重）,比較的体力低下,易疲労感、下半身の冷え。頻尿傾向などを伴う場合
47,釣藤散,ちょうとうさん,頭痛|めまい,虚証|中間証|熱証|気虚|水滞,チョウトウコウ|セッコウ|チンピ|バクモンドウ|ハンゲ|ブクリョウ|キクカ|ニンジン|ボウフウ|カンゾウ|ショウキョウ,循環器|神経・筋・脳神経,高血圧|慢性頭痛,体力中等度あるいはやや低下,中年以降、慢性に経過する頭痛、肩こりめまい等を訴える場合
48,十全大補湯,じゅうぜんたいほとう,疲労|貧血|寝汗|冷え性,虚証|寒証|気虚|血虚,オウギ|ケイヒ|シャクヤク|センキュウ|ソウジュツ|ニンジン|トウキ|ブクリョウ|カンゾウ|ジオウ,共通（領域を問わないもの）|消化器|血液|小児|外科・周術期|産婦人科,病後の体力低下|食欲不振|疲労倦怠|ねあせ|手足の冷え|食欲不振|貧血,体力低下,全身倦怠感、顔色不良、皮膚枯燥、貧血などを伴う場合
50,荊芥連翹湯,けいがいれんぎょうとう,にきび|蓄膿症|慢性鼻炎|慢性扁桃腺炎,中間証|熱証|血虚,オウゴン|オウバク|オウレン|キキョウ|キジツ|ケイガイ|サイコ|サンシシ|ジオウ|シャクヤク|センキュウ|トウキ|ハッカ|ビャクシ|ボウフウ|カンゾウ|レンギョウ,小児|皮膚|鼻腔咽喉,慢性扁桃炎|面皰|慢性鼻炎|蓄膿症,体力中等度前後,皮膚の色が浅黒く、副鼻腔、扁桃等に炎症が慢性化した場合
51,潤腸湯,じゅんちょうとう,便秘,虚証|中間証|血虚|隠虚,ジオウ|トウキ|オウゴン|キジツ|キョウニン|コウボク|ダイオウ|トウニン|マシニン|カンゾウ,消化器|外科・周術期,便秘,体力中等度あるいはやや低下,老人あるいは胃腸機能の低下した人の弛緩性痙攣性の便秘に
52,薏苡仁湯,よくいにんとう,関節痛|筋肉痛,実証|中間証|寒証|血虚|水滞,ヨクイニン|ソウジュツ|トウキ|マオウ|ケイヒ|シャクヤク|カンゾウ,神経・筋・脳神経|整形・運動器,関節痛|筋肉痛,比較的体力低下,冷え性で、朝の手のこわばり、微熱、盗汗等を伴う場合
53,疎経活血湯,そけいかっけつとう,関節痛|神経痛|腰痛|筋肉痛,中間証|寒証|水滞|瘀血|血虚,シャクヤク|ジオウ|センキュウ|ソウジュツ|トウキ|トウニン|ブクリョウ|イレイセン|キョウカツ|ゴシツ|チンピ|ボウイ|ボウフウ|リュウタン|カンゾウ|ビャクシ|ショウキョウ,神経・筋・脳神経|整形・運動器|産婦人科,神経痛|腰痛|関節痛|筋肉痛,体力中等度,腰部より下肢にかけて関節・筋肉・神経が痛み瘀血を伴う場合
54,抑肝散,よくかんさん,神経症|不眠症|小児夜泣き,中間証|気滞|瘀血,ソウジュツ|ブクリョウ|センキュウ|チョウトウコウ|トウキ|サイコ|カンゾウ,小児|精神・神経,小児夜啼症|小児疳症|神経症|不眠,体力中等度,神経過敏で興奮しやすく、イライラ等の精神神経症状の攣急を伴う場合
55,麻杏甘石湯,まきょうかんせきとう,小児喘息|気管支喘息,実証|熱証,マオウ|キョウニン|セッコウ|カンゾウ,呼吸器|小児,気管支喘息|小児喘息,比較的体力のある,咳嗽が強く口渇、自然発汗、熱感などがある場合
56,五淋散,ごりんさん,排尿痛|頻尿|残尿感,熱証|中間証|虚証|瘀血|血虚|水滞,ブクリョウ|オウゴン|カッセキ|カンゾウ|ジオウ|シャゼンシ|タクシャ|トウキ|モクツウ|サンシシ|シャクヤク,泌尿器,残尿感|排尿痛|頻尿,体力中等度あるいはやや低下,慢性に経過した尿路炎症で、頻尿などのある場合
57,温清飲,うんせいいん,のぼせ|月経不順|月経困難|血の道症|更年期障害|神経症,中間証|熱証|血虚,センキュウ|トウキ|シャクヤク|ジオウ|オウゴン|オウバク|オウレン|サンシシ,小児|産婦人科|精神・神経,神経症|更年期障害|血の道症|月経不順|月経困難,体力中等度,不安、不眠、のぼせなどの精神神経症状があり、出血傾向を伴う場合
58,清上防風湯,せいじょうぼうふうとう,にきび,実証|熱証,オウゴン|キキョウ|サンシシ|センキュウ|ハマボウフウ|ビャクシ|レンギョウ|オウレン|カンゾウ|キジツ|ケイガイ|ハッカ,皮膚,面皰,比較的体力のある,青年の面皰、顔面、頭部の発疹が強く、化膿している場合
59,治頭瘡一方,ぢづそういっぽう,湿疹|くさ|,実証|中間証|熱証|血滞,センキュウ|ソウジュツ|レンギョウ|ニンドウ|ボウフウ|カンゾウ|ケイガイ|コウカ|ダイオウ,小児|皮膚,湿疹|乳幼児の湿疹|くさ,比較的体力ある,顔面、頭部などの湿疹で、分泌液、びらん、搔痒感のある場合
60,桂枝加芍薬湯,けいしかしゃくやくとう,腹痛|しぶり腹,虚証|寒証|気滞|血虚,ケイヒ|シャクヤク|カンゾウ|タイソウ|ショウキョウ,消化器|小児,腹痛|しぶり腹,比較的体力低下,桂枝加芍薬大黄湯より裏急後重（しぶり腹）、便秘が軽度の場合
61,桃核承気湯,とうかくじょうきとう,便秘|月経不順|月経困難|不安|腹痛|便秘|高血圧,実証|熱証|気滞|瘀血,トウニン|ダイオウ|ケイヒ|カンゾウ|ボウショウ,循環器|消化器|神経・筋・脳神経|外科・周術期|整形・運動器|産婦人科,高血圧の随伴症状（頭痛、めまい、肩こり）|便秘|腰痛|月経時や産後の精神不安|月経不順|月経困難,体力充実,瘀血、左下腹部に抵抗・圧痛（小腹急結）、便秘、のぼせのある場合
62,防風通聖散,ぼうふうつうしょうさん,肥満|便秘|浮腫|高血圧,実証|熱証|瘀血|血虚|水滞,カッセキ|オウゴン|カンゾウ|キキョウ|セッコウ|ビャクジュツ|ダイオウ|ケイガイ|サンシシ|シャクヤク|センキュウ|トウキ|ハッカ|ボウフウ|マオウ|レンギョウ|ボウショウ|ショウキョウ,共通（領域を問わないもの）|循環器|消化器|腎|代謝・内分泌|神経・筋・脳神経|小児|外科・周術期,むくみ|高血圧の随伴症状（動悸、肩こり、のぼせ）|便秘|肥満症,体力充実,便秘し腹は臍を中心に膨満して力のある、いわゆる太鼓腹の場合
63,五積散,ごしゃくさん,冷え症|腹痛|胃腸炎|神経痛|関節痛|月経痛|頭痛|更年期障害|感冒,中間証|寒証|気滞|瘀血|血虚|水滞,ソウジュツ|チンピ|トウキ|ハンゲ|ブクリョウ|カンゾウ|キキョウ|キジツ|ケイヒ|コウボク|シャクヤク|ショウキョウ|センキュウ|タイソウ|ビャクシ|マオウ,呼吸器|神経・筋・脳神経|小児|整形・運動器|産婦人科,感冒|胃腸炎|頭痛|神経痛|腰痛|関節痛|更年期障害|冷え性|月経痛,体力中等度前後,悪寒や湿気により腹痛、下腹部痛、下肢の痛みなどを訴える場合
